sale_id,phone_id,sale_date,sale_price,platform,buyer_notes
1,1,2024-10-08,145.00,eBay,Fast sale
2,2,2024-10-10,110.00,WhatsApp,Regular buyer
3,3,2024-10-14,230.00,eBay,
4,5,2024-10-16,310.00,eBay,Buyer asked for warranty
5,6,2024-10-18,130.00,Facebook,
6,7,2024-10-20,170.00,eBay,
7,8,2024-10-22,90.00,walk-in,Cash sale
8,9,2024-10-23,105.00,WhatsApp,
9,10,2024-10-24,110.00,Facebook,
10,11,2024-10-26,70.00,Facebook,Low offer accepted
11,12,2024-10-27,130.00,eBay,
12,13,2024-10-28,65.00,WhatsApp,
13,14,2024-10-29,145.00,eBay,
14,15,2024-10-30,160.00,eBay,
15,16,2024-10-31,350.00,eBay,Good condition despite crack
16,17,2024-11-01,255.00,eBay,
17,18,2024-11-01,80.00,walk-in,Cash
18,20,2024-11-04,200.00,eBay,
19,21,2024-11-05,490.00,eBay,High demand
20,22,2024-11-06,400.00,eBay,
21,23,2024-11-07,110.00,WhatsApp,
22,24,2024-11-08,175.00,eBay,
23,25,2024-11-09,170.00,Facebook,
24,26,2024-11-10,130.00,WhatsApp,
25,27,2024-11-11,165.00,eBay,
26,28,2024-11-12,205.00,eBay,
27,29,2024-11-13,560.00,eBay,iPhone 15 premium price
28,30,2024-11-14,320.00,eBay,
29,31,2024-11-14,115.00,walk-in,
30,32,2024-11-15,55.00,WhatsApp,Budget buyer
31,33,2024-11-16,130.00,Facebook,
32,34,2024-11-17,125.00,eBay,
